d3mIndex,type,repeat,fold
0,TEST,0,0
1,TRAIN,0,0
2,TEST,0,0
3,TEST,0,0
4,TEST,0,0
5,TRAIN,0,0
6,TEST,0,0
7,TEST,0,0
8,TEST,0,0
9,TRAIN,0,0
10,TRAIN,0,0
11,TEST,0,0
12,TEST,0,0
13,TEST,0,0
14,TEST,0,0
15,TRAIN,0,0
16,TRAIN,0,0
17,TRAIN,0,0
18,TRAIN,0,0
19,TRAIN,0,0
20,TRAIN,0,0
21,TRAIN,0,0
22,TEST,0,0
23,TRAIN,0,0
24,TRAIN,0,0
25,TEST,0,0
26,TEST,0,0
27,TEST,0,0
28,TRAIN,0,0
29,TEST,0,0
30,TRAIN,0,0
31,TRAIN,0,0
32,TEST,0,0
33,TEST,0,0
34,TEST,0,0
35,TRAIN,0,0
36,TRAIN,0,0
37,TEST,0,0
38,TRAIN,0,0
39,TEST,0,0
40,TRAIN,0,0
41,TRAIN,0,0
42,TRAIN,0,0
43,TRAIN,0,0
44,TEST,0,0
45,TEST,0,0
46,TRAIN,0,0
47,TRAIN,0,0
48,TEST,0,0
49,TRAIN,0,0
50,TRAIN,0,0
51,TEST,0,0
52,TEST,0,0
53,TRAIN,0,0
54,TEST,0,0
55,TEST,0,0
56,TRAIN,0,0
57,TRAIN,0,0
58,TRAIN,0,0
59,TRAIN,0,0
60,TEST,0,0
61,TRAIN,0,0
62,TRAIN,0,0
63,TEST,0,0
64,TRAIN,0,0
65,TRAIN,0,0
66,TRAIN,0,0
67,TEST,0,0
68,TEST,0,0
69,TEST,0,0
70,TRAIN,0,0
71,TRAIN,0,0
72,TEST,0,0
73,TRAIN,0,0
74,TEST,0,0
75,TRAIN,0,0
76,TRAIN,0,0
77,TEST,0,0
78,TRAIN,0,0
79,TEST,0,0
80,TRAIN,0,0
81,TEST,0,0
82,TEST,0,0
83,TEST,0,0
84,TEST,0,0
85,TEST,0,0
86,TRAIN,0,0
87,TEST,0,0
88,TEST,0,0
89,TEST,0,0
90,TEST,0,0
91,TEST,0,0
92,TEST,0,0
93,TRAIN,0,0
94,TEST,0,0
95,TRAIN,0,0
96,TRAIN,0,0
97,TEST,0,0
98,TEST,0,0
99,TRAIN,0,0
100,TRAIN,0,0
101,TRAIN,0,0
102,TEST,0,0
103,TRAIN,0,0
104,TRAIN,0,0
105,TEST,0,0
106,TEST,0,0
107,TRAIN,0,0
108,TEST,0,0
109,TEST,0,0
110,TEST,0,0
111,TRAIN,0,0
112,TRAIN,0,0
113,TEST,0,0
114,TEST,0,0
115,TRAIN,0,0
116,TEST,0,0
117,TEST,0,0
118,TEST,0,0
119,TRAIN,0,0
120,TRAIN,0,0
121,TEST,0,0
122,TEST,0,0
123,TEST,0,0
124,TEST,0,0
125,TRAIN,0,0
126,TRAIN,0,0
127,TEST,0,0
128,TRAIN,0,0
129,TEST,0,0
130,TEST,0,0
131,TEST,0,0
132,TEST,0,0
133,TEST,0,0
134,TRAIN,0,0
135,TEST,0,0
136,TRAIN,0,0
137,TEST,0,0
138,TRAIN,0,0
139,TEST,0,0
140,TEST,0,0
141,TEST,0,0
142,TEST,0,0
143,TEST,0,0
144,TRAIN,0,0
145,TEST,0,0
146,TEST,0,0
147,TEST,0,0
148,TRAIN,0,0
149,TEST,0,0
150,TEST,0,0
151,TRAIN,0,0
152,TEST,0,0
153,TEST,0,0
154,TRAIN,0,0
155,TRAIN,0,0
156,TRAIN,0,0
157,TRAIN,0,0
158,TEST,0,0
159,TEST,0,0
160,TEST,0,0
161,TRAIN,0,0
162,TEST,0,0
163,TEST,0,0
164,TRAIN,0,0
165,TRAIN,0,0
166,TRAIN,0,0
167,TRAIN,0,0
168,TRAIN,0,0
169,TRAIN,0,0
170,TEST,0,0
171,TEST,0,0
172,TRAIN,0,0
173,TEST,0,0
174,TRAIN,0,0
175,TRAIN,0,0
176,TRAIN,0,0
177,TRAIN,0,0
178,TRAIN,0,0
179,TEST,0,0
180,TRAIN,0,0
181,TRAIN,0,0
182,TRAIN,0,0
183,TEST,0,0
184,TEST,0,0
185,TEST,0,0
186,TEST,0,0
187,TRAIN,0,0
188,TEST,0,0
