d3mIndex,group,conc,age,at.risk,binaryClass
0,1,0.0,22.5,2956638.0,N
1,1,0.0,27.5,2175046.0,N
2,1,0.0,32.5,1580019.0,N
3,1,0.0,37.5,1320637.0,N
4,1,0.0,42.5,1327866.0,N
5,1,0.0,47.5,1334769.0,N
6,1,0.0,52.5,1214443.0,N
7,1,0.0,57.5,977820.0,N
8,1,0.0,62.5,739460.0,N
9,1,0.0,67.5,520965.0,N
10,1,0.0,72.5,320158.0,N
11,1,0.0,77.5,158750.0,N
12,1,0.0,82.5,63236.0,N
13,2,10.0,22.5,1128.0,P
14,2,10.0,27.5,634.0,P
15,2,10.0,32.5,389.0,P
16,2,10.0,37.5,313.0,P
17,2,10.0,42.5,364.0,P
18,2,10.0,47.5,410.0,P
19,2,10.0,52.5,325.0,P
20,2,10.0,57.5,227.0,P
21,2,10.0,62.5,141.0,P
22,2,10.0,67.5,104.0,P
23,2,10.0,72.5,63.0,P
24,2,10.0,77.5,39.0,P
25,2,10.0,82.5,22.0,P
26,3,11.0,22.5,904.0,P
27,3,11.0,27.5,545.0,P
28,3,11.0,32.5,270.0,P
29,3,11.0,37.5,283.0,P
30,3,11.0,42.5,241.0,P
31,3,11.0,47.5,298.0,P
32,3,11.0,52.5,280.0,P
33,3,11.0,57.5,218.0,P
34,3,11.0,62.5,168.0,P
35,3,11.0,67.5,138.0,P
36,3,11.0,72.5,124.0,P
37,3,11.0,77.5,33.0,P
38,3,11.0,82.5,27.0,P
39,4,30.0,22.5,1187.0,P
40,4,30.0,27.5,782.0,P
41,4,30.0,32.5,549.0,P
42,4,30.0,37.5,472.0,P
43,4,30.0,42.5,469.0,P
44,4,30.0,47.5,421.0,P
45,4,30.0,52.5,379.0,P
46,4,30.0,57.5,323.0,N
47,4,30.0,62.5,312.0,P
48,4,30.0,67.5,232.0,P
49,4,30.0,72.5,157.0,P
50,4,30.0,77.5,60.0,P
51,4,30.0,82.5,45.0,P
52,5,32.0,22.5,1792.0,P
53,5,32.0,27.5,1217.0,P
54,5,32.0,32.5,854.0,P
55,5,32.0,37.5,745.0,P
56,5,32.0,42.5,733.0,P
57,5,32.0,47.5,671.0,P
58,5,32.0,52.5,570.0,P
59,5,32.0,57.5,463.0,P
60,5,32.0,62.5,317.0,P
61,5,32.0,67.5,220.0,P
62,5,32.0,72.5,159.0,P
63,5,32.0,77.5,59.0,N
64,5,32.0,82.5,51.0,P
65,6,32.0,22.5,584.0,P
66,6,32.0,27.5,393.0,P
67,6,32.0,32.5,237.0,P
68,6,32.0,37.5,222.0,P
69,6,32.0,42.5,232.0,P
70,6,32.0,47.5,216.0,P
71,6,32.0,52.5,194.0,P
72,6,32.0,57.5,162.0,P
73,6,32.0,62.5,173.0,P
74,6,32.0,67.5,122.0,P
75,6,32.0,72.5,88.0,P
76,6,32.0,77.5,38.0,N
77,6,32.0,82.5,28.0,P
78,7,42.0,22.5,2188.0,P
79,7,42.0,27.5,1509.0,P
80,7,42.0,32.5,1065.0,P
81,7,42.0,37.5,1036.0,P
82,7,42.0,42.5,1051.0,P
83,7,42.0,47.5,951.0,P
84,7,42.0,52.5,820.0,P
85,7,42.0,57.5,637.0,P
86,7,42.0,62.5,511.0,P
87,7,42.0,67.5,408.0,P
88,7,42.0,72.5,247.0,P
89,7,42.0,77.5,122.0,P
90,7,42.0,82.5,84.0,P
91,8,45.0,22.5,1981.0,P
92,8,45.0,27.5,1203.0,P
93,8,45.0,32.5,719.0,P
94,8,45.0,37.5,574.0,P
95,8,45.0,42.5,644.0,P
96,8,45.0,47.5,709.0,P
97,8,45.0,52.5,637.0,P
98,8,45.0,57.5,458.0,P
99,8,45.0,62.5,282.0,P
100,8,45.0,67.5,157.0,P
101,8,45.0,72.5,155.0,P
102,8,45.0,77.5,122.0,P
103,8,45.0,82.5,75.0,P
104,9,50.0,22.5,1468.0,P
105,9,50.0,27.5,807.0,P
106,9,50.0,32.5,553.0,P
107,9,50.0,37.5,508.0,P
108,9,50.0,42.5,619.0,P
109,9,50.0,47.5,621.0,P
110,9,50.0,52.5,485.0,P
111,9,50.0,57.5,359.0,P
112,9,50.0,62.5,325.0,P
113,9,50.0,67.5,247.0,P
114,9,50.0,72.5,235.0,P
115,9,50.0,77.5,155.0,P
116,9,50.0,82.5,119.0,P
117,10,56.0,22.5,1543.0,P
118,10,56.0,27.5,777.0,P
119,10,56.0,32.5,464.0,P
120,10,56.0,37.5,499.0,P
121,10,56.0,42.5,617.0,P
122,10,56.0,47.5,898.0,P
123,10,56.0,52.5,460.0,P
124,10,56.0,57.5,373.0,P
125,10,56.0,62.5,244.0,P
126,10,56.0,67.5,174.0,P
127,10,56.0,72.5,97.0,P
128,10,56.0,77.5,41.0,P
129,10,56.0,82.5,51.0,P
130,11,60.0,22.5,2527.0,P
131,11,60.0,27.5,1443.0,P
132,11,60.0,32.5,816.0,P
133,11,60.0,37.5,747.0,P
134,11,60.0,42.5,902.0,P
135,11,60.0,47.5,944.0,P
136,11,60.0,52.5,810.0,P
137,11,60.0,57.5,607.0,P
138,11,60.0,62.5,475.0,P
139,11,60.0,67.5,381.0,P
140,11,60.0,72.5,249.0,P
141,11,60.0,77.5,146.0,P
142,11,60.0,82.5,60.0,P
143,12,65.0,22.5,1563.0,P
144,12,65.0,27.5,944.0,P
145,12,65.0,32.5,592.0,P
146,12,65.0,37.5,498.0,P
147,12,65.0,42.5,583.0,P
148,12,65.0,47.5,512.0,P
149,12,65.0,52.5,426.0,P
150,12,65.0,57.5,382.0,P
151,12,65.0,62.5,377.0,P
152,12,65.0,67.5,314.0,P
