d3mIndex,group,conc,age,at.risk,binaryClass
0,1,0.0,22.5,2595529.0,P
1,1,0.0,27.5,1846189.0,N
2,1,0.0,32.5,1402764.0,P
3,1,0.0,37.5,1215899.0,N
4,1,0.0,42.5,1191615.0,N
5,1,0.0,47.5,1111810.0,N
6,1,0.0,52.5,957985.0,N
7,1,0.0,57.5,774836.0,N
8,1,0.0,62.5,634758.0,N
9,1,0.0,67.5,492203.0,N
10,1,0.0,72.5,342767.0,N
11,1,0.0,77.5,199630.0,N
12,1,0.0,82.5,96293.0,N
13,2,10.0,22.5,934.0,P
14,2,10.0,27.5,489.0,P
15,2,10.0,32.5,276.0,P
16,2,10.0,37.5,317.0,P
17,2,10.0,42.5,374.0,P
18,2,10.0,47.5,435.0,N
19,2,10.0,52.5,342.0,P
20,2,10.0,57.5,277.0,N
21,2,10.0,62.5,203.0,N
22,2,10.0,67.5,175.0,P
23,2,10.0,72.5,105.0,N
24,2,10.0,77.5,78.0,N
25,2,10.0,82.5,38.0,P
26,3,11.0,22.5,666.0,P
27,3,11.0,27.5,267.0,P
28,3,11.0,32.5,310.0,P
29,3,11.0,37.5,221.0,P
30,3,11.0,42.5,311.0,P
31,3,11.0,47.5,292.0,P
32,3,11.0,52.5,295.0,P
33,3,11.0,57.5,265.0,P
34,3,11.0,62.5,203.0,P
35,3,11.0,67.5,143.0,P
36,3,11.0,72.5,93.0,P
37,3,11.0,77.5,69.0,P
38,3,11.0,82.5,59.0,P
39,4,30.0,22.5,1003.0,P
40,4,30.0,27.5,591.0,P
41,4,30.0,32.5,481.0,P
42,4,30.0,37.5,405.0,P
43,4,30.0,42.5,462.0,P
44,4,30.0,47.5,397.0,P
45,4,30.0,52.5,392.0,P
46,4,30.0,57.5,353.0,P
47,4,30.0,62.5,317.0,P
48,4,30.0,67.5,199.0,N
49,4,30.0,72.5,115.0,P
50,4,30.0,77.5,71.0,N
51,4,30.0,82.5,75.0,P
52,5,32.0,22.5,1545.0,P
53,5,32.0,27.5,865.0,P
54,5,32.0,32.5,673.0,P
55,5,32.0,37.5,709.0,P
56,5,32.0,42.5,744.0,P
57,5,32.0,47.5,644.0,P
58,5,32.0,52.5,563.0,N
59,5,32.0,57.5,439.0,P
60,5,32.0,62.5,318.0,P
61,5,32.0,67.5,238.0,N
62,5,32.0,72.5,167.0,P
63,5,32.0,77.5,92.0,P
64,5,32.0,82.5,36.0,N
65,6,32.0,22.5,469.0,P
66,6,32.0,27.5,260.0,P
67,6,32.0,32.5,198.0,P
68,6,32.0,37.5,199.0,P
69,6,32.0,42.5,183.0,P
70,6,32.0,47.5,227.0,P
71,6,32.0,52.5,162.0,P
72,6,32.0,57.5,219.0,P
73,6,32.0,62.5,194.0,P
74,6,32.0,67.5,126.0,P
75,6,32.0,72.5,77.0,N
76,6,32.0,77.5,35.0,N
77,6,32.0,82.5,43.0,N
78,7,42.0,22.5,2063.0,P
79,7,42.0,27.5,1267.0,P
80,7,42.0,32.5,1101.0,P
81,7,42.0,37.5,1038.0,P
82,7,42.0,42.5,984.0,P
83,7,42.0,47.5,932.0,P
84,7,42.0,52.5,738.0,P
85,7,42.0,57.5,567.0,P
86,7,42.0,62.5,497.0,P
87,7,42.0,67.5,427.0,P
88,7,42.0,72.5,321.0,P
89,7,42.0,77.5,178.0,P
90,7,42.0,82.5,114.0,P
91,8,45.0,22.5,1432.0,P
92,8,45.0,27.5,830.0,P
93,8,45.0,32.5,553.0,P
94,8,45.0,37.5,520.0,P
95,8,45.0,42.5,650.0,P
96,8,45.0,47.5,710.0,P
97,8,45.0,52.5,662.0,P
98,8,45.0,57.5,456.0,P
99,8,45.0,62.5,320.0,P
100,8,45.0,67.5,232.0,P
101,8,45.0,72.5,213.0,P
102,8,45.0,77.5,129.0,P
103,8,45.0,82.5,113.0,P
104,9,50.0,22.5,1100.0,P
105,9,50.0,27.5,603.0,P
106,9,50.0,32.5,436.0,P
107,9,50.0,37.5,525.0,P
108,9,50.0,42.5,624.0,P
109,9,50.0,47.5,636.0,P
110,9,50.0,52.5,466.0,P
111,9,50.0,57.5,366.0,P
112,9,50.0,62.5,370.0,P
113,9,50.0,67.5,309.0,P
114,9,50.0,72.5,214.0,P
115,9,50.0,77.5,111.0,P
116,9,50.0,82.5,128.0,P
117,10,56.0,22.5,1105.0,P
118,10,56.0,27.5,480.0,P
119,10,56.0,32.5,414.0,P
120,10,56.0,37.5,466.0,P
121,10,56.0,42.5,582.0,P
122,10,56.0,47.5,563.0,P
123,10,56.0,52.5,447.0,P
124,10,56.0,57.5,365.0,N
125,10,56.0,62.5,283.0,N
126,10,56.0,67.5,168.0,P
127,10,56.0,72.5,125.0,N
128,10,56.0,77.5,57.0,P
129,10,56.0,82.5,39.0,P
130,11,60.0,22.5,1893.0,P
131,11,60.0,27.5,1032.0,P
132,11,60.0,32.5,668.0,P
133,11,60.0,37.5,787.0,P
134,11,60.0,42.5,950.0,P
135,11,60.0,47.5,878.0,N
136,11,60.0,52.5,807.0,P
137,11,60.0,57.5,629.0,P
138,11,60.0,62.5,559.0,P
139,11,60.0,67.5,455.0,P
140,11,60.0,72.5,298.0,P
141,11,60.0,77.5,150.0,N
142,11,60.0,82.5,121.0,P
143,12,65.0,22.5,1199.0,P
144,12,65.0,27.5,587.0,P
145,12,65.0,32.5,451.0,P
146,12,65.0,37.5,491.0,P
147,12,65.0,42.5,521.0,P
148,12,65.0,47.5,553.0,P
149,12,65.0,52.5,537.0,P
150,12,65.0,57.5,487.0,P
151,12,65.0,62.5,404.0,P
152,12,65.0,67.5,299.0,P
153,12,65.0,72.5,197.0,P
154,12,65.0,77.5,103.0,P
155,12,65.0,82.5,98.0,P
156,13,73.0,22.5,2394.0,P
157,13,73.0,27.5,1360.0,P
158,13,73.0,32.5,1183.0,P
159,13,73.0,37.5,1209.0,N
160,13,73.0,42.5,1261.0,P
161,13,73.0,47.5,1046.0,P
162,13,73.0,52.5,853.0,P
163,13,73.0,57.5,725.0,P
164,13,73.0,62.5,671.0,P
165,13,73.0,67.5,546.0,P
166,13,73.0,72.5,355.0,P
167,13,73.0,77.5,192.0,P
168,13,73.0,82.5,142.0,P
169,14,80.0,22.5,2149.0,P
170,14,80.0,27.5,1318.0,P
171,14,80.0,32.5,1018.0,P
172,14,80.0,37.5,857.0,P
173,14,80.0,42.5,988.0,P
174,14,80.0,47.5,1018.0,P
175,14,80.0,52.5,879.0,P
176,14,80.0,57.5,709.0,P
177,14,80.0,62.5,483.0,P
178,14,80.0,67.5,417.0,P
179,14,80.0,72.5,220.0,P
180,14,80.0,77.5,137.0,P
181,14,80.0,82.5,139.0,P
182,15,100.0,22.5,1439.0,P
183,15,100.0,27.5,744.0,P
184,15,100.0,32.5,415.0,P
185,15,100.0,37.5,510.0,P
186,15,100.0,42.5,564.0,P
187,15,100.0,47.5,573.0,P
188,15,100.0,52.5,467.0,P
189,15,100.0,57.5,402.0,P
190,15,100.0,62.5,385.0,P
191,15,100.0,67.5,335.0,P
192,15,100.0,72.5,254.0,P
193,15,100.0,77.5,168.0,P
194,15,100.0,82.5,136.0,P
195,16,110.0,22.5,1110.0,P
196,16,110.0,27.5,586.0,P
197,16,110.0,32.5,477.0,P
198,16,110.0,37.5,502.0,P
199,16,110.0,42.5,575.0,P
200,16,110.0,47.5,521.0,P
201,16,110.0,52.5,447.0,N
