d3mIndex,att1,att2,att3,att4,att5,att6,binaryClass
0,1.0,0.0,0.0,133.150861,1.311693,1620.221779,P
1,1.0,0.0,0.0,126.724861,1.302745,1609.334822,P
2,1.0,0.0,0.0,131.173861,1.319031,1568.978435,P
3,1.0,0.0,0.0,129.478861,1.270878,1695.055281,P
4,1.0,0.0,0.0,127.262861,1.329637,1647.720235,P
5,1.0,0.0,0.0,131.058861,1.310403,2027.211367,P
6,1.0,0.0,0.0,138.442861,1.379906,1918.750472,P
7,1.0,0.0,0.0,129.346861,1.305646,1547.263727,P
8,1.0,0.0,0.0,139.542861,1.374661,1871.055934,P
9,1.0,0.0,0.0,132.628861,1.374434,1884.680458,P
10,1.0,0.0,0.0,128.684861,1.319394,1624.011556,P
11,1.0,0.0,0.0,129.346861,1.210899,1635.044099,P
12,1.0,0.0,0.0,141.072861,1.336216,2180.629149,P
13,1.0,0.0,0.0,130.810861,1.248912,1627.671359,P
14,1.0,0.0,0.0,131.868861,1.299064,1677.247402,P
15,1.0,0.0,0.0,128.618861,1.225879,1517.039218,P
16,1.0,0.0,0.0,127.129861,1.270321,1739.283124,P
17,1.0,0.0,0.0,135.846861,1.366889,1640.186583,P
18,1.0,0.0,0.0,127.758861,1.362188,1549.720967,P
19,1.0,0.0,0.0,134.324861,1.301996,1785.058233,P
20,1.0,0.0,0.0,127.923861,1.327469,1560.581747,P
21,1.0,0.0,0.0,128.800861,1.242598,1519.847054,P
22,1.0,0.0,0.0,132.422861,1.236974,1655.205001,P
23,1.0,0.0,0.0,129.288861,1.255408,1590.042076,P
24,1.0,0.0,0.0,136.110861,1.272122,1819.020085,P
25,1.0,0.0,0.0,131.322861,1.262507,1662.386954,P
26,1.0,0.0,0.0,134.258861,1.277449,1655.186876,P
27,1.0,0.0,0.0,134.506861,1.362977,1745.600125,P
28,1.0,0.0,0.0,131.702861,1.337155,1855.10493,P
29,1.0,0.0,0.0,134.820861,1.249143,1623.20697,P
30,1.0,0.0,0.0,130.322861,1.258018,1679.91193,P
31,1.0,0.0,0.0,128.469861,1.304331,1668.804985,P
32,1.0,0.0,0.0,129.817861,1.296367,1791.835534,P
33,1.0,0.0,0.0,123.268861,1.175559,1647.619186,P
34,1.0,0.0,0.0,123.342861,1.343222,1700.900026,P
35,1.0,0.0,0.0,133.034861,1.250948,1718.367277,P
36,1.0,0.0,0.0,129.164861,1.234612,1630.91695,P
37,1.0,0.0,0.0,133.232861,1.369648,1747.263857,P
38,1.0,0.0,0.0,130.156861,1.287706,1668.600995,P
39,1.0,0.0,0.0,123.887861,1.288205,1664.23941,P
40,1.0,0.0,0.0,130.694861,1.343557,1685.056222,P
41,1.0,0.0,0.0,122.448861,1.21294,1618.527005,P
42,1.0,0.0,0.0,127.948861,1.317956,1595.632139,P
43,1.0,0.0,0.0,132.976861,1.302848,1628.679826,P
44,1.0,0.0,0.0,128.916861,1.219017,1648.696015,P
45,1.0,0.0,0.0,136.226861,1.329887,1877.636421,P
46,1.0,0.0,0.0,134.820861,1.276998,1897.196661,P
47,1.0,0.0,0.0,134.249861,1.285432,1949.581306,P
48,1.0,0.0,0.0,125.136861,1.298548,1622.168475,P
49,1.0,0.0,0.0,130.578861,1.268686,1596.788072,P
50,1.0,0.0,0.0,124.384861,1.364778,1788.18042,P
51,1.0,0.0,0.0,134.804861,1.292236,1619.933005,P
52,1.0,0.0,0.0,124.136861,1.263616,1560.034174,P
53,1.0,0.0,0.0,128.122861,1.238959,1508.249286,P
54,1.0,0.0,0.0,127.766861,1.232623,1604.780162,P
55,1.0,0.0,0.0,131.198861,1.287761,1697.677432,P
56,1.0,0.0,0.0,128.858861,1.270186,1632.641545,P
57,1.0,0.0,0.0,133.282861,1.291134,1777.046545,P
58,1.0,0.0,0.0,133.306861,1.30766,1829.529741,P
59,1.0,0.0,0.0,126.774861,1.342144,1730.012685,P
60,1.0,0.0,0.0,127.948861,1.32415,1652.673224,P
61,1.0,0.0,0.0,129.552861,1.320467,1764.701054,P
62,1.0,0.0,0.0,127.650861,1.269962,1653.768568,P
63,1.0,0.0,0.0,132.794861,1.300281,1549.259053,P
64,1.0,0.0,0.0,130.156861,1.428109,1849.047453,P
65,1.0,0.0,0.0,136.822861,1.269062,1799.855201,P
66,1.0,0.0,0.0,133.018861,1.294699,1813.312452,P
67,1.0,0.0,0.0,135.300861,1.306836,1690.068384,P
68,1.0,0.0,0.0,125.310861,1.283107,1573.404626,P
69,1.0,0.0,0.0,135.862861,1.340864,1733.270959,P
70,1.0,0.0,0.0,130.958861,1.348961,1755.422128,P
71,1.0,0.0,0.0,130.140861,1.293127,1601.576424,P
72,1.0,0.0,0.0,124.996861,1.21807,1692.167937,P
73,1.0,0.0,0.0,128.924861,1.201011,1605.448565,P
74,1.0,0.0,0.0,134.018861,1.345078,1871.813126,P
75,1.0,0.0,0.0,129.676861,1.273593,1830.097057,P
76,1.0,0.0,0.0,128.667861,1.272193,1640.830426,P
77,1.0,0.0,0.0,126.998861,1.26663,1542.462627,P
78,1.0,0.0,0.0,132.678861,1.326601,1617.683221,P
79,1.0,0.0,0.0,123.945861,1.239283,1634.678494,P
80,1.0,0.0,0.0,130.230861,1.317101,1669.673789,P
81,1.0,0.0,0.0,128.973861,1.311147,1752.911256,P
82,1.0,0.0,0.0,124.425861,1.276571,1701.558585,P
83,1.0,0.0,0.0,132.215861,1.26305,1757.956207,P
84,1.0,0.0,0.0,131.802861,1.30883,1766.959705,P
85,1.0,0.0,0.0,127.460861,1.292413,1608.963832,P
86,1.0,0.0,0.0,130.578861,1.217083,1620.643384,P
87,1.0,0.0,0.0,126.278861,1.210506,1514.355177,P
88,1.0,0.0,0.0,125.600861,1.164346,1497.753302,P
89,1.0,0.0,0.0,130.660861,1.359555,1859.826849,P
90,1.0,0.0,0.0,134.936861,1.264624,1611.208565,P
91,1.0,0.0,0.0,130.636861,1.216297,1601.070959,P
92,1.0,0.0,0.0,126.956861,1.275816,1608.740609,P
93,1.0,0.0,0.0,136.648861,1.27366,1712.383206,P
94,1.0,0.0,0.0,136.392861,1.386569,1885.099585,P
95,1.0,0.0,0.0,133.298861,1.354236,1880.481171,P
96,1.0,0.0,0.0,125.186861,1.196588,1607.212267,P
97,1.0,0.0,0.0,128.419861,1.334423,1634.099606,P
98,1.0,0.0,0.0,125.070861,1.273953,1558.653074,P
99,1.0,0.0,0.0,131.372861,1.358671,1638.356526,P
100,1.0,0.0,0.0,134.010861,1.270042,1758.968752,P
101,1.0,0.0,0.0,134.235861,1.360231,2267.902684,P
102,1.0,0.0,0.0,131.554861,1.294393,1768.849417,P
103,1.0,0.0,0.0,134.746861,1.322585,1753.236205,P
104,1.0,0.0,0.0,133.464861,1.296726,1568.881562,P
105,1.0,0.0,0.0,134.390861,1.279433,1651.891693,P
106,1.0,0.0,0.0,123.236861,1.365678,2097.188584,P
107,1.0,0.0,0.0,121.986861,1.303442,2022.701798,P
108,1.0,0.0,0.0,127.072861,1.18247,1636.628705,P
109,1.0,0.0,0.0,126.882861,1.22769,1707.518308,P
110,1.0,0.0,0.0,131.934861,1.251781,1555.877738,P
111,1.0,0.0,0.0,136.598861,1.327176,1711.670697,P
112,1.0,0.0,0.0,129.164861,1.263976,1537.423771,P
113,1.0,0.0,0.0,131.794861,1.22375,1713.431751,P
114,1.0,0.0,0.0,132.406861,1.290279,1694.659385,P
115,1.0,0.0,0.0,129.329861,1.306311,1847.247259,P
116,1.0,0.0,0.0,125.442861,1.298215,1591.472529,P
117,1.0,0.0,0.0,130.280861,1.298552,1705.019387,P
118,1.0,0.0,0.0,129.098861,1.276454,1664.239391,P
119,1.0,0.0,0.0,128.304861,1.245116,1543.955581,P
120,1.0,0.0,0.0,131.487861,1.367231,1914.107054,P
121,1.0,0.0,0.0,134.490861,1.295977,1728.132575,P
122,1.0,0.0,0.0,132.596861,1.316714,1694.231061,P
123,1.0,0.0,0.0,135.060861,1.252043,1652.290596,P
124,1.0,0.0,0.0,132.612861,1.274169,1740.207854,P
125,1.0,0.0,0.0,132.596861,1.374103,1632.047281,P
126,1.0,0.0,0.0,134.820861,1.367925,1872.544549,P
127,1.0,0.0,0.0,128.742861,1.292125,1698.454401,P
128,1.0,0.0,0.0,127.816861,1.461082,1782.537404,P
129,1.0,0.0,0.0,136.912861,1.412175,2092.472544,P
130,1.0,0.0,0.0,121.572861,1.248125,1530.151156,P
131,1.0,0.0,0.0,139.666861,1.463253,2154.437406,P
132,1.0,0.0,0.0,131.256861,1.26114,1719.125603,P
133,1.0,0.0,0.0,127.956861,1.289142,1586.722364,P
134,1.0,0.0,0.0,122.300861,1.258939,1669.417735,P
135,0.0,2.0,0.0,231.276861,2.38708,15215.964412,P
136,1.0,0.0,0.0,131.536861,1.355819,1831.15225,P
137,1.0,0.0,0.0,124.020861,1.221007,1454.976293,P
138,1.0,0.0,0.0,129.403861,1.310423,1731.031579,P
139,1.0,0.0,0.0,132.538861,1.274197,1658.776947,P
140,1.0,0.0,0.0,135.432861,1.26648,1795.471446,P
141,1.0,0.0,0.0,130.519861,1.368366,1861.505678,P
142,1.0,0.0,0.0,128.270861,1.23604,1795.013571,P
143,1.0,0.0,0.0,131.934861,1.356304,1623.238035,P
144,1.0,0.0,0.0,133.588861,1.38345,1666.205493,P
145,1.0,0.0,0.0,136.640861,1.302338,1759.938914,P
146,1.0,0.0,0.0,139.972861,1.313272,1997.273622,P
147,1.0,0.0,0.0,131.620861,1.278052,1881.470567,P
148,1.0,0.0,0.0,131.256861,1.236981,1638.090031,P
149,1.0,0.0,0.0,127.882861,1.327942,1631.551109,P
150,1.0,0.0,0.0,134.266861,1.271035,1794.42567,P
151,1.0,0.0,0.0,133.382861,1.272739,1567.084426,P
152,1.0,0.0,0.0,130.958861,1.279225,1750.990786,P
153,1.0,0.0,0.0,129.850861,1.299141,1551.035202,P
154,1.0,0.0,0.0,136.978861,1.30855,1963.711458,P
155,1.0,0.0,0.0,126.882861,1.226248,1606.8253,P
156,1.0,0.0,0.0,130.089861,1.332919,1734.783871,P
157,1.0,0.0,0.0,127.146861,1.21953,1521.022814,P
158,1.0,0.0,0.0,126.394861,1.26536,1803.287201,P
159,1.0,0.0,0.0,131.066861,1.246369,1795.985887,P
160,1.0,0.0,0.0,127.436861,1.193676,1628.764278,P
161,1.0,0.0,0.0,132.472861,1.327882,1731.645587,P
162,1.0,0.0,0.0,128.800861,1.283,1566.947169,P
163,1.0,0.0,0.0,137.880861,1.361614,1769.867,P
164,0.0,2.0,0.0,218.300861,2.229401,9370.670736,P
165,1.0,0.0,0.0,135.978861,1.303489,1853.991544,P
166,1.0,0.0,0.0,126.998861,1.192205,1629.070635,P
167,1.0,0.0,0.0,126.186861,1.208926,1580.812573,P
168,1.0,0.0,0.0,129.891861,1.286668,1782.854228,P
169,1.0,0.0,0.0,129.362861,1.217773,1597.345025,P
170,1.0,0.0,0.0,135.738861,1.279935,1949.631773,P
171,1.0,0.0,0.0,136.086861,1.495439,1717.339068,P
172,1.0,0.0,0.0,121.656861,1.318004,1720.433994,P
173,1.0,0.0,0.0,144.016861,1.343802,2256.65348,P
174,1.0,0.0,0.0,129.048861,1.339143,1605.035208,P
175,1.0,0.0,0.0,130.512861,1.34887,1608.475743,P
176,1.0,0.0,0.0,137.822861,1.2931,1945.003749,P
177,1.0,0.0,0.0,128.146861,1.212417,1726.835761,P
178,1.0,0.0,0.0,127.873861,1.230064,1640.155507,P
179,1.0,0.0,0.0,135.043861,1.387344,1924.81049,P
180,1.0,0.0,0.0,122.904861,1.201994,1439.53494,P
181,1.0,0.0,0.0,128.354861,1.200291,1496.383412,P
182,1.0,0.0,0.0,126.782861,1.257423,1604.499945,P
183,1.0,0.0,0.0,132.414861,1.31166,1836.507388,P
184,1.0,0.0,0.0,125.170861,1.180945,1541.397831,P
185,1.0,0.0,0.0,131.620861,1.253776,1853.712744,P
186,1.0,0.0,0.0,135.176861,1.286184,1671.001033,P
187,1.0,0.0,0.0,128.502861,1.338924,1715.132468,P
188,1.0,0.0,0.0,128.799861,1.213826,1650.613831,P
189,0.0,2.0,0.0,209.418861,2.027482,13099.455286,P
190,1.0,0.0,0.0,127.138861,1.1922,1613.15094,P
191,1.0,0.0,0.0,133.464861,1.247392,1628.799461,P
192,1.0,0.0,0.0,134.258861,1.305215,1675.549245,P
193,1.0,0.0,0.0,126.939861,1.290469,1732.9834,P
194,1.0,0.0,0.0,133.076861,1.263331,1767.44919,P
195,1.0,0.0,0.0,130.082861,1.297389,1680.512659,P
196,1.0,0.0,0.0,132.124861,1.391938,1653.62841,P
197,1.0,0.0,0.0,131.488861,1.241247,1614.934225,P
198,1.0,0.0,0.0,131.562861,1.263348,1544.092522,P
199,1.0,0.0,0.0,125.219861,1.24423,1602.840912,P
200,0.0,2.0,0.0,136.194861,1.452134,3334.110374,N
201,0.0,2.0,0.0,136.806861,1.444288,3560.92153,N
202,0.0,2.0,0.0,130.084861,1.576239,3396.473985,N
203,0.0,3.0,1.0,144.026861,1.495583,5471.78575,N
204,0.0,3.0,1.0,141.470861,1.515987,5416.707511,N
205,0.0,2.0,0.0,126.560861,1.428086,3068.573095,N
