d3mIndex,Page_total_likes_target,Type,Category,Post_Month,Post_Weekday,Post_Hour,Paid,Lifetime_Post_Total_Reach,Lifetime_Post_Total_Impressions,Lifetime_Engaged_Users,Lifetime_Post_Consumers,Lifetime_Post_Consumptions,Lifetime_Post_Impressions_by_people_who_have_liked_your_Page,Lifetime_Post_reach_by_people_who_like_your_Page,Lifetime_People_who_have_liked_your_Page_and_engaged_with_your_post,comment,like,share,Total_Interactions_target
0,139441.0,Photo,2.0,12.0,4.0,3.0,0.0,2752.0,5091.0,178.0,109.0,159.0,3078.0,1640.0,119.0,4.0,79.0,17.0,100.0
1,139441.0,Status,2.0,12.0,3.0,10.0,0.0,10460.0,19057.0,1457.0,1361.0,1674.0,11710.0,6112.0,1108.0,5.0,130.0,29.0,164.0
2,139441.0,Photo,3.0,12.0,3.0,3.0,0.0,2413.0,4373.0,177.0,113.0,154.0,2812.0,1503.0,132.0,0.0,66.0,14.0,80.0
3,139441.0,Photo,2.0,12.0,2.0,10.0,1.0,50128.0,87991.0,2211.0,790.0,1119.0,61027.0,32048.0,1386.0,58.0,1572.0,147.0,1777.0
4,139441.0,Photo,2.0,12.0,2.0,3.0,0.0,7244.0,13594.0,671.0,410.0,580.0,6228.0,3200.0,396.0,19.0,325.0,49.0,393.0
5,139441.0,Status,2.0,12.0,1.0,9.0,0.0,10472.0,20849.0,1191.0,1073.0,1389.0,16034.0,7852.0,1016.0,1.0,152.0,33.0,186.0
6,139441.0,Photo,3.0,12.0,1.0,3.0,1.0,11692.0,19479.0,481.0,265.0,364.0,15432.0,9328.0,379.0,3.0,249.0,27.0,279.0
7,139441.0,Photo,3.0,12.0,7.0,9.0,1.0,13720.0,24137.0,537.0,232.0,305.0,19728.0,11056.0,422.0,0.0,325.0,14.0,339.0
8,139441.0,Status,2.0,12.0,7.0,3.0,0.0,11844.0,22538.0,1530.0,1407.0,1692.0,15220.0,7912.0,1250.0,0.0,161.0,31.0,192.0
9,139441.0,Photo,3.0,12.0,6.0,10.0,0.0,4694.0,8668.0,280.0,183.0,250.0,4309.0,2324.0,199.0,3.0,113.0,26.0,142.0
10,139441.0,Status,2.0,12.0,5.0,10.0,0.0,21744.0,42334.0,4258.0,4100.0,4540.0,37849.0,18952.0,3798.0,0.0,233.0,19.0,252.0
11,139441.0,Photo,2.0,12.0,5.0,10.0,0.0,3112.0,5590.0,208.0,127.0,145.0,3887.0,2174.0,165.0,0.0,88.0,18.0,106.0
12,139441.0,Photo,2.0,12.0,5.0,10.0,0.0,2847.0,5133.0,193.0,115.0,133.0,3779.0,2072.0,152.0,0.0,90.0,14.0,104.0
13,139441.0,Photo,2.0,12.0,5.0,3.0,0.0,2549.0,4896.0,249.0,134.0,168.0,3631.0,1917.0,183.0,5.0,137.0,10.0,152.0
14,138414.0,Photo,2.0,12.0,4.0,5.0,1.0,22784.0,39941.0,887.0,337.0,417.0,34415.0,19312.0,684.0,2.0,577.0,20.0,599.0
15,138414.0,Status,2.0,12.0,3.0,10.0,0.0,10060.0,19680.0,1264.0,1209.0,1425.0,17272.0,8548.0,1162.0,4.0,86.0,18.0,108.0
