d3mIndex,User_country,Nr._reviews,Nr._hotel_reviews,Helpful_votes,Score_target,Period_of_stay,Traveler_type,Pool,Gym,Tennis_court,Spa,Casino,Free_internet,Hotel_name,Hotel_stars,Nr._rooms,User_continent,Member_years,Review_month,Review_weekday
0,USA,11.0,4.0,13.0,5.0,Dec-Feb,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,9.0,January,Thursday
1,USA,119.0,21.0,75.0,3.0,Dec-Feb,Business,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,3.0,January,Friday
2,USA,36.0,9.0,25.0,5.0,Mar-May,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,2.0,February,Saturday
3,UK,14.0,7.0,14.0,4.0,Mar-May,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Europe,6.0,February,Friday
4,Canada,5.0,5.0,2.0,4.0,Mar-May,Solo,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,7.0,March,Tuesday
5,Canada,31.0,8.0,27.0,3.0,Mar-May,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,2.0,March,Tuesday
6,UK,45.0,12.0,46.0,4.0,Mar-May,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Europe,4.0,April,Friday
7,USA,2.0,1.0,4.0,4.0,Mar-May,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,0.0,April,Tuesday
8,India,24.0,3.0,8.0,4.0,Mar-May,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Asia,3.0,May,Saturday
9,Canada,12.0,7.0,11.0,3.0,Mar-May,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,5.0,May,Tuesday
10,USA,102.0,24.0,58.0,2.0,Jun-Aug,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,9.0,June,Friday
11,Australia,20.0,9.0,24.0,3.0,Jun-Aug,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Oceania,4.0,June,Saturday
12,USA,7.0,6.0,9.0,2.0,Jun-Aug,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,1.0,July,Wednesday
13,USA,22.0,5.0,13.0,3.0,Jun-Aug,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,1.0,July,Thursday
14,UK,3.0,3.0,0.0,3.0,Jun-Aug,Friends,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Europe,1.0,August,Sunday
15,New Zeland,146.0,17.0,33.0,4.0,Jun-Aug,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Oceania,2.0,August,Saturday
16,Canada,8.0,8.0,9.0,1.0,Sep-Nov,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,4.0,September,Wednesday
17,USA,9.0,3.0,1.0,4.0,Sep-Nov,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,2.0,September,Saturday
18,Canada,41.0,9.0,19.0,3.0,Sep-Nov,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,2.0,October,Tuesday
19,USA,8.0,7.0,26.0,2.0,Sep-Nov,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,10.0,October,Monday
20,UK,10.0,5.0,2.0,4.0,Sep-Nov,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Europe,7.0,November,Saturday
21,New Zeland,4.0,3.0,3.0,1.0,Sep-Nov,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Oceania,3.0,November,Monday
22,UK,18.0,7.0,19.0,4.0,Dec-Feb,Families,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,Europe,0.0,December,Saturday
23,USA,4.0,4.0,3.0,2.0,Dec-Feb,Couples,NO,YES,NO,NO,YES,YES,Circus Circus Hotel & Casino Las Vegas,3.0,3773.0,North America,5.0,December,Sunday
24,Ireland,29.0,11.0,15.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,3.0,January,Monday
25,USA,114.0,42.0,52.0,4.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,11.0,January,Saturday
